prompt,response
PE1: Not able to receive PO # 4102340403,"Actual Issue: PE1: Not able to receive PO # 4102340403
Hi team, Not able to receive PO # 4102340403, Please help

Root Cause: The profit center was locked

Resolution or Suggested steps: The profit center was just locked during the GECO transition. Now it's unlocked and user can try for GR.
 
Closing the ticket as no response received from the user.

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816"
PE1: Not able to change control code in PO,"Issue/Request:PE1: Not able to change control code in PO-Not able to change control code in PO.
Control code in PO not showing as per material code

Root cause: PO line item is already having purchase history.in this stage control cannot be changed for the line item
 
Solution: Suggested user to short close the PO line and create new line in the same PO for balance qty.it will pickup the new control code form material master.

Closure Confirmation: User confirmed for closure, hence incident marked as Resolved."
PE1: Unable to change the Tax code,"Issue/Request: PE1: Unable to change the Tax code
Root cause: Business requirement
Solution: Provided the steps to update the tax code.

Closing the ticket as user confirmed, attached closure confirmation
"
PE1: Unable to get PO PDF,"Issue/Request: PE1: Unable to get PO PDF.I am not able to take the Print (PDF) of the PO No-4102498443 via email
or T-code ME9F.Request you to kinldy provide the PDF copy of the PO No-4102498443

Root cause:External send output was not added in PO.hence user not getting  PO pdf through  mail
 
Solution: Suggested user to maintain the output with external send.issue resolved.
 
Closure Confirmation: User confirmed for closure, hence incident marked as Resolved."
GEINC14699783,"""Issue/Request: GR value is zero 

Root Cause: GR non valuated ticked in PO line item

Solution/Action: Analysis shared , user confirmed to close this ticket

CC: User confirmed for closure, hence incident marked as Resolved. Confirmation email attached herewith.
------------------------
Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816
------------------------""
"
PMX not sending reponse to Ariba,"""Issue/Request: SES issue

Root Cause: SES not found in Pmax

Solution/Action: Analysis shared 

CC: User confirmed for closure, hence incident marked as Resolved. Confirmation email attached herewith.
------------------------
Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816
------------------------""
"
PE1: Unable to save PO getting error,"Issue/Request: PE1: Unable to save PO getting error-I am unable to save the PO getting error please help.

Root cause: SO 666671  was added in set block since it was migrated to new SO from migration team
 
Solution: With suggestion from Migration team we removed the SO from block from OMS approval...Buyer changed the PO and immediately added SO again back to the SET.
 
Closure Confirmation: User confirmed for closure, hence incident marked as Resolved."
PE1: GRN Issue,"Issue/Request: PE1: GRN Issue-Dear support team,
PO # 4102423034-30
I was trying to do GRN for the above mentioned PO line.
But im getting the error message as below Error screenshot attached
No item category exists
Enter a material or an item category

Root cause: Item category group used in Material master data was ZSER.
 
Solution: Suggested user to change the item category group to old value LEIS from ZSER and user was able to complete GR.
 
Closure Confirmation: User confirmed for closure, hence incident marked as Resolved."
PE1: Unable to post manul GRN,"Issue/Request: PE1: Unable to post manul GRN-Hello team,
we unable to post the manual GRN for PO 4102435529 line 30 and 40
please support.
Regards,
Nishanth R.

Root cause: CCK used in PO allows GR through MIGO.
 
Solution: Suggested user to do GR through MIGO not through VL31N.user was able to complete GR,.
 
Closure Confirmation: User confirmed for closure, hence incident marked as Resolved."
Mass PO Creation,"Actual Issue: Mass PO Creation
Kindly please help to support how to create bulk PO in more effective way

Root Cause: NA

Resolution or Suggested steps: We have suggested user to check ME59N transaction which is used for auto PR to PO creation. In case of further training, they can reach out to Toengi Ramona.
 
Closing the ticket as confirmed by user (attach evidence - confirmation mail from user or screen shot from the chat)

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816"
MyTech Business Application Support: SAP-PMX Perceptive Invoice Routing Issue,"Issue/Request: I already created PO in the SAP with ME21N, but when I check there is no PO number 
Here is my document number Document 1000277478 does not exist

Root cause: User ID not available in PE1.Issue seems to be from different system.
 
Solution: When connected with user for checking on issue.User confirmed issue is resolved at their end and confirmed to close the ticket.
 
Closure Confirmation: User confirmed for closure, hence incident marked as Resolved."
MyTech Business Application Support: SAP PMX Gas Power CORA Functional/Tech/Others,Incident has been marked resolved or canceled. Task state is moving to close skipped.
PY1: Issue in PY1-100 reported by 212337913,"• Issue/Request :-Kindly please help to check my issue during to open NCR, picture
attached.
• Root Cause:-  User resolved the issue on its own.
• Solution/Action :- User resolved the issue on its own.
""Closing the ticket as confirmed by user""
Please share your feedback on ticket closure using the link https://app.sc.ge.com/surveys/create/569816
"
MyTech Business Application Support: EventVision,"Issue: I'm not able to add ADN to SOs 741008, 741009 & 741010. EE 163816 & 163814.

RCA/Solution: Under mentioned orders : 741008, 741009 & 741010 there are incompletion logs. Informed user to complete the info and carry with the further process.
As nothing is pending from L2 support, user confirmed on the closure. in teams chat, we are going ahead and closing the ticket.

Closure feedback Link : https://app.sc.ge.com/surveys/create/569816"
PO/VENDOR/Supplier related issues  >> S&L,"Issue/Request: PO/VENDOR/Supplier related issues  >> S&L-Dears;
For some reason I didn't get and PDF for Two POs 4200269926 & 4200268700. EV 163582 & 164160 can you please specify the reason behind this. 

Root cause: Pdf  Output not generated.
 
Solution: Issue resolve at user end
Output added manually.

Closure Confirmation: User confirmed for closure, hence incident marked as Resolved."
MyTech Business Application Support: PowerMax - Not working (broken),"Actual Issue: Dears,
I am trying to create a PO through PMX using Purchase request# 0122075084 and I am getting error message and will attach it to the ticket,
please advise,
Thanks,

Root Cause: The last PO with the same material was created with wrong amount

Resolution or Suggested steps: We have asked user to connect with last PO buyer, ask him to revise the po price and then try again for new po creation.
 
Closing the ticket as confirmed by user (attach evidence - confirmation mail from user or screen shot from the chat)

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816"
PE1: request for PO printing authorization,"Actual Issue: PE1: request for PO printing authorization
Hello,
Please provide me the option to display issued POs in PDF and print them.
Thanks!

Root Cause: NA

Resolution or Suggested steps: Since the user is not from the sourcing team, they do not have the authorization to view the original po copy. They have to generate a new output for fresh copies.
 
Closing the ticket as confirmed by user (attach evidence - confirmation mail from user or screen shot from the chat)

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816"
PE1: Invoice fully GR's still block with R - PACV,"Actual Issue: PE1: Invoice fully GR's still block with R - PACV
Hi Team,

Invoice 18201 was fully GR's - PO 4200265665 item lines 940 + 950 + 960.
Could you please advise why invoice is still shown with R block?

Thanks,
Nofar

Root Cause: The invoice was blocked due to price variance between po line price and invoice price

Resolution or Suggested steps: We have suggested user to release the block manually using MRBR.
 
Closing the ticket as confirmed by user (attach evidence - confirmation mail from user or screen shot from the chat)

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816"
